program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-SE,NAN,2nd,Wd,CS-119,Monday,09:30,11:00,SSG13,Mr.Adnan Ali
BS-SE,NAN,2nd,Ds,MATHA-234,Monday,11:00,00:30,SSG13,Mr.Shahrukh
BS-SE,NAN,2nd,Pf,CS-114,Monday,00:30,02:00,SSG13,Mr.Adnan Ali
BS-SE,NAN,2nd,Cps,ENG-361,Tuesday,09:30,11:00,SSG13,Ms.Naaz Khatoon
BS-SE,NAN,2nd,Pf(Lab),CS-114,Tuesday,11:00,02:00,HBL LAB-III,Mr.Adnan Ali
BS-SE,NAN,2nd,Cag,MATHP-118,Tuesday,03:00,04:30,R1,Engr.Farhan Aftab
BS-SE,NAN,2nd,Cps,ENG-361,Wednesday,09:30,11:00,SSG  13,Ms.Naaz Khatoon
BS-SE,NAN,2nd,Wd(Lab),CS-119,Wednesday,11:00,02:00,HBL LAB-III,Engr.Farhan Aftab
BS-SE,NAN,2nd,Pf,CS-114,Wednesday,03:00,04:30,SSG  13,Mr.Adnan Ali
BS-SE,NAN,2nd,Psgp,HuM-102,Friday,09:30,11:00,SSG-56,Dr.Muhammad Naeem
BS-SE,NAN,2nd,Ds,MATHA-234,Friday,11:00,00:30,SSG-56,Engr.Farhan Aftab
BS-SE,NAN,2nd,Cag,MATHP-118,Friday,00:30,02:00,SSG-56,Mr.Shahrukh
BS-SE,NAN,4th,Hci,IT-3XX,Monday,09:30,11:00,SSG-17,Mr.Raheem Shah
BS-SE,NAN,4th,Sda(Lab),SE-231,Monday,11:00,02:00,HBL LAB-IV,Engr.Laila
BS-SE,NAN,4th,Pom,MGMT-206,Monday,03:00,04:30,SSG-17,Dr.Abdul Wahid
BS-SE,NAN,4th,Dsa,nan,Tuesday,09:30,11:00,HBL LAB-II,Mr.Muhammad Atif
BS-SE,NAN,4th,Hci(Lab),IT-3XX,Tuesday,11:00,02:00,HBL LAB-II,Engr.Laila
BS-SE,NAN,4th,Cv,nan,Tuesday,03:00,04:30,SSG-18,Dr.Akbar Khan
BS-SE,NAN,4th,Cvt,MATHA-213,Wednesday,09:30,11:00,HBL LAB-III,Ms.Naheeda Akhtar
BS-SE,NAN,4th,Cv,nan,Wednesday,11:00,00:30,SSG-17,Dr.Akbar Khan
BS-SE,NAN,4th,Dsa,nan,Wednesday,00:30,02:00,SSG-17,Mr.Muhammad Atif
BS-SE,NAN,4th,Pom,MGMT-206,Wednesday,03:00,04:30,SSG-17,Dr.Abdul Wahid
BS-SE,NAN,4th,Sda,SE-231,Thursday,09:30,11:00,SSG-17,Mr.Shahrukh
BS-SE,NAN,4th,Dsa(Lab),nan,Thursday,11:00,02:00,HBL LAB-II,Engr.Farhan Aftab
BS-SE,NAN,6th,Tbw,HUM-266,Monday,09:30,11:00,HBL LAB-IV,Dr.Anayat Ullah
BS-SE,NAN,6th,Cn,TE-307,Monday,11:00,00:30,SSG-18,Ms.Poma
BS-SE,NAN,6th,Iot,nan,Monday,00:30,02:00,SSG-18,Dr.Shafiullah
BS-SE,NAN,6th,Sqe,SE-231,Monday,03:00,04:30,SSA-150,Mr.Raheem Shah
BS-SE,NAN,6th,Sqe,SE-231,Tuesday,11:00,00:30,SSA-150,Mr.Raheem Shah
BS-SE,NAN,6th,Cn,TE-307,Tuesday,00:30,02:00,SSG-55,Ms.Poma
BS-SE,NAN,6th,Na(Lab),MATHA-216,Thursday,09:30,00:30,SSC II CLOUD COMUTING LAB,Engr.Laila
BS-SE,NAN,6th,Iot,nan,Thursday,00:30,02:00,SSG-55,Dr.Shafiullah
BS-SE,NAN,6th,Tbw,HUM-266,Friday,09:30,11:00,SSG  13,Dr.Anayat Ullah
BS-SE,NAN,6th,Cn(Lab),TE-307,Friday,11:00,02:00,HBL LAB-IV,Engr.Laila
BS-SE,NAN,8th,Pp,nan,Monday,11:00,00:30,SSA-150,Mr.Luqman
BS-SE,NAN,8th,Ids,nan,Monday,00:30,02:00,SSG-55,Dr.Aadil Siddiqui
BS-SE,NAN,8th,Nlp,nan,Monday,03:00,04:30,SSG13,Mr.Adnan Ali
BS-SE,NAN,8th,Sdp-Ii,SE-492L,Tuesday,09:30,00:30,LIIA,Dr.Akbar Khan
BS-SE,NAN,8th,Pp,nan,Wednesday,09:30,11:00,ADVANCE TELECOM LAB,Mr.Luqman
BS-SE,NAN,8th,Nlp,nan,Wednesday,11:00,00:30,SSG-18,Mr.Adnan Ali
BS-SE,NAN,8th,Hrm,nan,Wednesday,00:30,02:00,SSG-18,Ms.Qurat Ul Ain
BS-SE,NAN,8th,Hrm,nan,Friday,09:30,11:00,R8,Ms.Qurat Ul Ain
BS-SE,NAN,8th,Ids,nan,Friday,11:00,00:30,R8,Dr.Aadil Siddiqui
BS-CS,A,2nd,Dld,EE-102/L,Monday,09:00,11:00,R1,Dr. Muhammad Khalid
BS-CS,A,2nd,Ds,MATHA-234,Monday,11:00,00:30,R1,Ms.Bushra Haq
BS-CS,A,2nd,Md-Ii,nan,Monday,00:30,02:00,R1,Nan
BS-CS,A,2nd,Mvc,nan,Monday,03:00,04:30,R1,Dr.Ayub
BS-CS,A,2nd,Pf,CS-114L,Tuesday,09:00,00:30,SSc comp lab II,Mr.Mir Ahmed
BS-CS,A,2nd,Pf,CS-114,Tuesday,00:30,02:00,R2,Mr.Mir Ahmed
BS-CS,A,2nd,Dld,EE-102/L,Wednesday,09:30,00:30,Digital system lab,Dr. Muhammad Khalid
BS-CS,A,2nd,Pf,CS-114,Wednesday,00:30,02:00,R1,Mr.Mir Ahmed
BS-CS,A,2nd,Cn,TE-307/L,Thursday,09:00,11:00,SSg-55,Ms.Poma
BS-CS,A,2nd,Ds,MATHA-234,Thursday,11:00,00:30,R1,Ms.Bushra Haq
BS-CS,A,2nd,Md-Ii,nan,Thursday,00:30,02:00,R1,Nan
BS-CS,A,2nd,Fm-Ii,nan,Thursday,03:00,04:30,SSg-55,Nan
BS-CS,A,2nd,Cn(Lab),TE-307/L,Friday,09:00,00:30,HBL-lab1,Ms.Poma
BS-CS,B,2nd,Ds,MATHA-234,Monday,09:00,11:00,HBL-II,Ms.Bushra Haq
BS-CS,B,2nd,Pf,CS-114,Monday,11:00,00:30,R2,Mr.Yahya Jan
BS-CS,B,2nd,Mvc,nan,Monday,00:30,04:30,R6,Dr.Ayub
BS-CS,B,2nd,Cn,TE-307/L,Tuesday,09:00,11:00,HBL-IV,Ms.Poma
BS-CS,B,2nd,Md-Ii,nan,Tuesday,11:00,00:30,R2,Nan
BS-CS,B,2nd,Pf(Lab),CS-114,Tuesday,00:30,04:30,SSc comp lab II,Mr.Yahya Jan
BS-CS,B,2nd,Dld,EE-102/L,Wednesday,09:00,11:00,R8,Ms.Summaya
BS-CS,B,2nd,Md-Ii,nan,Wednesday,11:00,00:30,R2,Nan
